id,track,artist,artist,month,year,posThen,posHighest,duration,tempo,timeSignature,mode,key,loudness,danceability,energy
6GqPoSKu9rgBG6PhaDD8Uj,ONE LOVE,DAVID GUETTA,DAVID GUETTA,12,2009,4,4,241053,126.033,4,0,0,-6.387,0.68,0.639
4BcFmLv7C3SmYaTVOukEom,FLASHBACK,CALVIN HARRIS,CALVIN HARRIS,12,2009,5,3,227520,127.994,4,1,0,-5.624,0.494,0.948
7kMfu3KUydmrFVGEAhjtyl,GOOD GIRLS GO BAD,COBRA STARSHIP,COBRA STARSHIP,12,2009,9,8,196413,119.964,4,1,0,-3.716,0.594,0.874
77FULy278MulVvGWS8BfK7,WHEN LOVE TAKES OVER,DAVID GUETTA,DAVID GUETTA,12,2009,11,1,191000,129.984,4,1,11,-4.649,0.665,0.875
12YeqnoXUp3Kgo7gq9dfxx,WATCH THE SUN COME UP,EXAMPLE,EXAMPLE,12,2009,13,3,204923,114.99,4,1,2,-2.46,0.621,0.932
5uozEFB0xzT0QsgrA9DLGr,READY FOR THE WEEKEND,CALVIN HARRIS,CALVIN HARRIS,12,2009,14,1,217987,137.959,4,0,9,-4.813,0.818,0.711
4tge5dkhcDyjM6yrfeFTVo,INVADERS MUST DIE,PRODIGY,PRODIGY,12,2009,15,15,295027,140.035,4,1,6,-5.168,0.606,0.9
3ezkJgagRPZ39KCTrKcSI7,GHOSTS 'N' STUFF,DEADMAU5,DEADMAU5,12,2009,16,2,328747,127.979,4,1,8,-6.942,0.611,0.613
1vaUxfrERQIQfJ1wBTmeRE,I'M IN MIAMI BITCH,LMFAO,LMFAO,12,2009,17,17,227933,127.944,4,0,6,-7.324,0.937,0.48
1fvD4tBLGypUG0Tg2nHHus,EVACUATE THE DANCEFLOOR,CASCADA,CASCADA,12,2009,20,14,206307,127.009,4,1,0,-5.856,0.76,0.694
4uUz3SYA7xNKcuOvv7PCFO,I REMEMBER,DEADMAU5,DEADMAU5,12,2009,21,1,480067,129.993,4,0,11,-6.773,0.768,0.61
5HktkLHDbjA6LTyRTBEzHy,CELEBRATION,MADONNA,MADONNA,12,2009,23,1,215133,126.002,4,0,11,-4.139,0.637,0.891
1lWlGBwUjnO3QOlPSLLkQ9,DANCE WIV ME,DIZZEE RASCAL,DIZZEE RASCAL,12,2009,24,1,263093,111.999,4,1,11,-7.623,0.882,0.587
17ENYsr0idvwCHb3wmx6hX,J'ADORE HARDCORE,SCOOTER,SCOOTER,12,2009,25,25,339768,149.98,4,1,7,-5.457,0.537,0.871
0EMyqiMNDRptenOpbe2mcK,RELEASE ME,AGNES,AGNES,12,2009,27,26,254120,127.972,4,0,2,-2.914,0.623,0.913
5rw6vin94QDx6pGgqDDQ25,HEARTBEAT,NNEKA,NNEKA,12,2009,28,28,190813,148.15,4,0,11,-5.836,0.711,0.649
0Av9xDx2Abpru3pvPGNaf8,POPPIHOLLA,CHICANE,CHICANE,12,2009,29,29,221360,127.996,4,1,3,-6.881,0.535,0.888
5FEXPoPnzueFJQCPRIrC3c,DAY 'N' NITE,KID CUDI,KID CUDI,12,2009,30,1,221267,138.035,4,0,11,-6.362,0.878,0.446
